table_catalog,table_schema,table_name,table_type,self_referencing_column_name,reference_generation,user_defined_type_catalog,user_defined_type_schema,user_defined_type_name,is_insertable_into,is_typed,commit_action
inventory_bi,public,sys_user,BASE TABLE,,,,,,YES,NO,
inventory_bi,public,sys_department,BASE TABLE,,,,,,YES,NO,
inventory_bi,public,sys_employee,BASE TABLE,,,,,,YES,NO,
inventory_bi,public,base_warehouse,BASE TABLE,,,,,,YES,NO,
inventory_bi,public,inv_current_stock,BASE TABLE,,,,,,YES,NO,
inventory_bi,public,base_product,BASE TABLE,,,,,,YES,NO,
inventory_bi,public,biz_order,BASE TABLE,,,,,,YES,NO,
inventory_bi,public,base_partner,BASE TABLE,,,,,,YES,NO,
inventory_bi,public,fact_finance,BASE TABLE,,,,,,YES,NO,
inventory_bi,public,biz_order_item,BASE TABLE,,,,,,YES,NO,
inventory_bi,public,view_bi_sales_analysis,VIEW,,,,,,NO,NO,
inventory_bi,public,view_bi_finance_monitor,VIEW,,,,,,NO,NO,
inventory_bi,public,view_bi_inventory_alert,VIEW,,,,,,NO,NO,
inventory_bi,public,view_bi_purchase_analysis,VIEW,,,,,,NO,NO,
